MST|RFID
14569|9557526
14570|15774442
14571|10330518
14573|1817156
14574|15770944
14575|1771447
14576|9528756
14577|7609595
14578|10351789
14580|1782839
14581|8522851
14583|7607490
14584|15796284
14585|1504087
14587|9531575
14589|15452486
14590|10344040
14591|10328462
14592|6257744
14593|15791189
14594|1424809
14595|15768312
14597|10324099
14599|15780766
14600|1426176
14604|1559356
14605|1427431
14606|1441445
14608|1475068
14609|1489898
14610|1504487
14611|1458472
14613|1577134
14614|1559686
14615|1511040
14616|1512936
14617|1525231
14618|1543984
14619|1589102
14620|1460680
14622|1477325
14623|1485858
14624|1500192
14625|1762585
14628|1817485
14629|1845396
14631|1465844
14632|1483512
14633|1433353
14634|1448886
14635|1424546
14636|1468853
14637|10365495
14638|9546549
14641|1434509
14646|9116513
14649|1816752
14650|1816017
14651|9502110
14652|10369613
14653|9499498
14655|10327029
14656|15762208
14657|1491904
14659|1505709
14660|9552337
14661|1484945
14662|1823519
14664|1430317
14665|1450345
14666|7624591
14667|15388622
14668|7584443
14670|1499093
14671|1499116
14672|6359407
14673|7573637
14674|1457151
14677|9496725
14678|8993740
14679|9218071
14680|1818219
14681|8986367
14684|9543786
14685|1435882
14686|1818935
14687|1468124
14688|15388950
14689|1503108
14690|1491244
14691|1486347
14692|1452529
14693|1789499
14694|10368140
14695|1428747
14696|1472853
14697|9548526
14702|9492350
14705|9491748
14706|1788779
14707|9538884
14708|9495424
14709|9536939
14710|9538166
14711|9493661
14712|9530081
14714|1498018
14715|10396308
14716|1493203
14717|1447754
14718|1435135
14719|7611677
14721|1436492
14722|1469604
14724|1500734
14725|1762327
14726|9538379
14727|9539101
14728|9529449
14729|9530202
14730|9527926
14732|9532335
14733|9532436
14734|9533095
14735|9530093
14736|9529445
14737|1818215
14738|1787665
14739|1482219
14740|1822419
14741|1440251
14742|1846119
14744|15435216
14746|10358852
14747|9518864
14748|9524926
14749|1511040
14750|1781174
14751|1771447
14752|1559356
14753|15779960
14754|9557526
14755|1426196
14757|7607490
14758|9504239
14760|9526428
14762|9525669
14763|9525520
14764|9524917
14765|9504224
14766|9503625
14767|9503624
14768|9503623
14769|9548537
14771|9549244
14772|9549847
14773|9503622
14775|9502890
14778|9533955
14779|9534542
14780|9534693
14781|9535284
14782|9535436
14783|9545260
14784|9502889
14785|9545879
14787|9547272
14788|9547221
14789|10328491
14790|10325453
14791|1505726
14792|10340687
14793|10373013
14794|10327391
14795|10330446
14796|10338098
14797|10333807
14798|10396589
14799|15452063
14800|9532316
14801|9536020
14802|15431463
14803|15811720
14804|10334988
14805|10359584
14807|10393550
14808|10389340
14810|15778520
14811|10392600
14812|10400658
14814|9521237
14815|10390262
14816|1449103
14817|10341011
14818|10370014
14819|10334116
14820|10400872
14821|10378492
14822|10376354
14823|10323981
14824|15777873
14825|15811153
14827|15782885
14828|15767709
14830|1493037
14831|1468146
14832|1455494
14833|1435744
14834|1502640
14835|1474128
14836|1449648
14837|1456918
14838|1442735
14839|1436489
14840|1440937
14841|1429288
14842|1440937
14843|1459185
14844|1460168
14845|1464688
14846|1459210
14848|1444325
14849|1497476
14850|1444780
14851|1435881
14852|1426163
14853|1489274
14855|1469119
14856|1432944
14857|1454964
14860|1473623
14861|1436304
14862|1442275
14863|1448411
14864|1466111
14865|1459971
14866|1503609
14867|1449811
14868|1466060
14869|1476381
14870|1433507
14871|1762327
14873|1434086
14874|1448923
14875|1429236
14876|1441441
14878|1471879
14879|1449660
14881|1494313
14882|1428297
14883|1457706
14884|1460138
14885|1459393
14886|1434048
14887|1447585
14888|1481650
14889|1489102
14890|1468317
14891|1454913
14892|1435847
14893|1494303
14894|1492534
14895|1473616
14896|1466812
14897|1499066
14898|1449083
14899|1429780
14900|1440909
14901|1446911
14902|1494418
14903|1455702
14904|1429202
14905|1427046
14906|1443410
14907|1459439
14908|1482894
14909|1506085
14910|9502891
14911|1819656
14912|10363335
14913|10354731
14914|1497338
14915|8581342
14916|9502894
14917|9502888
14918|9507635
14919|1450538
14920|1427377
14921|1440089
1499|9001928
154|12809871
1544|7599226
157|300025
1600|6029821
1642|6660307
1670|6012162
1673|9008100
1694|10366603
17|1456923
170|9010414
1765|1498576
1789|9558051
18|9825962
1801|2662200
1802|10351759
1820|1447582
191|12818816
1931|6666653
1932|2653243
1933|392501
2046|9503544
2097|6381645
2107|6435106
2121|7601622
2124|15811771
213|7653460
2174|15083529
2202|7591878
2208|12410361
2223|1484250
2279|9003100
233|12823518
2340|8986192
2452|6355692
2460|7572894
25001|1435697
25002|15417273
25003|1503583
25004|1439443
25005|9514294
25006|10402839
25007|8604921
25008|1467591
25009|7598605
25010|9503530
25011|1487703
25012|9496832
25013|1430326
25014|9496186
25015|9543780
25016|1461428
25017|6401624
25018|8531881
2534|6524552
2540|6374528
2545|6257713
2582|2994978
260|10220100
2606|3578207
2609|2995260
261|1448368
2617|4704850
2624|9001095
265|12817887
2710|4409239
2792|6257322
280|1475800
2806|6661929
2833|1459928
2844|1491895
2857|9117258
286|9536903
2862|6653049
288|1625549
2889|6665959
2940|15095460
2954|8985895
2983|1824528
303|12819515
3064|15435952
3071|9737953
309|12813177
3101|5708073
3103|1491086
3123|3207236
3146|6258469
3151|7598617
3154|870021
3185|367832
3188|377395
32|6512516
3215|9694989
3259|6257339
3266|6258446
3319|1489057
3371|15421782
34|12803892
3405|2727968
3419|15812474
3426|10384510
345|12806131
346|12806131
3534|7851820
3537|12356269
3548|1805363
355|6410251
3557|9209154
3564|2334166
3619|6264729
362|12809703
363|1507038
364|12806131
3645|5853306
3661|4266830
3702|12307420
3704|15125279
3705|15112567
3751|1502631
376|9500735
3769|2771651
3778|9187776
3801|5602387
3804|1506390
3827|9012902
3844|2282455
385|1643233
3850|1635038
3870|15252283
388|7603092
3931|1433351
3937|6257336
3943|2261850
3956|15431157
396|3419152
398|12814516
3981|3287205
4014|14715087
402|12807377
407|12808560
4106|9503619
4151|6234769
4152|9512991
4166|2165928
4176|1576480
4191|6360951
4198|12806131
4231|11105868
4238|11091883
4274|15817287
4354|9247529
4414|1433973
4437|11103217
4476|6637763
45|9014106
4524|12031911
46|3131404
4600|6653433
4601|7604582
4615|1493025
47|15461970
471|1440288
4742|9118299
4762|8089078
4793|1493796
4829|7482968
4842|10339693
50|7046376
5085|8985483
5113|6663450
5115|9726990
5154|12327442
5185|9205392
5186|9118286
5188|3391794
5227|12306355
5252|6646320
5316|9503545
5331|9739084
5372|9206026
538|6672142
5383|12417849
5395|1785630
5401|10135112
5407|1433486
5421|1444327
5433|9505626
5435|9547875
5507|1253551
5547|9243794
5657|9235961
571|1426553
5715|9228039
5722|9193461
5748|533561
5752|532628
